Material,Categoría,Producto,Tipo de contenido,Link al material
Aquoral Core,Salud Ocular,"Aquoral® Multidosis
Aquoral® Monodosis",Promocional,"Aquoral_Core.pdf"
Díptico Aquoral,Salud Ocular,"Aquoral® Multidosis
Aquoral® Monodosis",De consulta,"ESTEVE_Diptico_Aquoral.pdf"
Tríptico Aquoral,Salud Ocular,"Aquoral® Multidosis
Aquoral® Monodosis",De consulta,"Triptico_Aquoral_MAY22-AAFF.pdf"
Packaging Aquoral® Multidosis,Salud Ocular,Aquoral® Multidosis,Promocional,"Aquoral_Multidosis.jpeg"
Packaging Aquoral® Monodosis,Salud Ocular,Aquoral® Monodosis,Promocional,"Aquoral_Monodosis.png"
Packaging Aquoral® Forte Multidosis,Salud Ocular,Aquoral® Forte Multidosis,Promocional,"Aquoral_Forte_Multidosis.jpg"
Packaging Aquoral® Forte Monodosis,Salud Ocular,Aquoral® Forte Monodosis,Promocional,"Aquoral_Forte_Monodosis.jpg"
Packaging Aquoral® Lipo Multidosis,Salud Ocular,Aquoral® Lipo Multidosis,Promocional,"Aquoral_Lipo_Multidosis.jpg"
Packaging Aquoral® Noche,Salud Ocular,Aquoral® Noche,Promocional,"Aquoral_Noche.jpg"
RepelBite Folleto Gama,Mosquitos,"RepelBite Familiar
RepelBite Xtreme
RepelBite Niños Spray
RepelBite Herbal Spray
RepelBite Natural Parches
RepelBite Natural Pulseras
RepelBite Natural Barra
RepelBite Natural Loción",De consulta,"Repelbite_Folleto_Gama.pdf"
Packaging RepelBite Familiar,Mosquitos,RepelBite Familiar,Promocional,"Repelbite_Familiar.png"
Packaging RepelBite Xtreme,Mosquitos,RepelBite Xtreme,Promocional,"Repelbite_Xtreme.png"
Packaging RepelBite Niños Spray,Mosquitos,RepelBite Niños Spray,Promocional,"Repelbite_Ni_os_Spray.png"
Packaging RepelBite Herbal Spray,Mosquitos,RepelBite Herbal Spray,Promocional,"Repelbite_Herbal_Spray.png"
Packaging RepelBite Natural Parches,Mosquitos,RepelBite Natural Parches,Promocional,"Repelbite_Natural_Parches.png"
Packaging RepelBite Natural Pulseras,Mosquitos,RepelBite Natural Pulseras,Promocional,"Repelbite_Natural_Pulseras.png"
Packaging RepelBite Natural Barra,Mosquitos,RepelBite Natural Barra,Promocional,"Repelbite_Natural_Barra.png"
Packaging RepelBite Natural Loción,Mosquitos,RepelBite Natural Loción,Promocional,"Repelbite_Natural_Locion.png"
Packaging AfterBite Original,Mosquitos,AfterBite Original,Promocional,"Afterbite_Original.png"
Packaging AfterBite Xtreme,Mosquitos,AfterBite Xtreme,Promocional,"Afterbite_Xtreme.png
Packaging AfterBite Pediátrico,Mosquitos,AfterBite Pediátrico,Promocional,"Afterbite_Pediatrico.png"
Packaging Pulsera RepelBite Niños,Mosquitos,Pulsera RepelBite Niños,Promocional,"Repelbite_Pulsera_Ninos.png"
Poster Dormidina,Sueño,"Dormidina® Doxilamina 25mg
Dormidina® Doxilamina 12,5mg
Dorminatur® Melatonina Comprimidos
Dorminatur® Melatonina Gummies
Dorminatur® Valeriana
Dorminatur® Triple Acción",De consulta,"Poster_Dormidina.pdf"
Díptico DormiNatur,Sueño,"Dorminatur® Melatonina Comprimidos
Dorminatur® Melatonina Gummies
Dorminatur® Valeriana
Dorminatur® Triple Acción",De consulta,"Diptico_Dorminatur_A3.pdf"
